"Metacritic";"MatchedTo";"VariantCount";"Steam1";"Steam2";"Steam3";"Steam4";"Steam5";"Steam6";"Steam7";"Steam8";"Steam9";"Steam10"
"Zombie Apocalypse";;1;"Splatter - Zombie Apocalypse";;;;;;;;;
"Ys I & II Chronicles";;2;"Ys I & II Chronicles+";"Ys I & II Chronicles+";;;;;;;;
"You Don't Know Jack (2011)";;5;"YOU DON'T KNOW JACK Vol. 2";"YOU DON'T KNOW JACK Vol. 3";"YOU DON'T KNOW JACK Vol. 1 XL";"YOU DON'T KNOW JACK HEADRUSH";"YOU DON'T KNOW JACK TELEVISION";;;;;
"You Don't Know Jack (1995)";;5;"YOU DON'T KNOW JACK Vol. 2";"YOU DON'T KNOW JACK Vol. 3";"YOU DON'T KNOW JACK HEADRUSH";"YOU DON'T KNOW JACK Vol. 1 XL";"YOU DON'T KNOW JACK TELEVISION";;;;;
"X-Wing vs. TIE Fighter: Balance of Power";;1;"STAR WARS™ X-Wing vs TIE Fighter - Balance of Power Campaigns™";;;;;;;;;
"WRC 6: World Rally Championship";;2;"WRC 6 FIA World Rally Championship";"WRC 5 FIA World Rally Championship";;;;;;;;
"Weather Lord: Following the Princess";;1;"Weather Lord: Following the Princess Collector's Edition";;;;;;;;;
"Wayward Terran Frontier";;1;"Wayward Terran Frontier: Zero Falls";;;;;;;;;
"VR Baseball 2000";;1;"VR Baseball";;;;;;;;;
"Void and Meddler - Episode 1";;1;"Void And Meddler";;;;;;;;;
"Voice of Pripyat 3D";;1;"Voice of Pripyat";;;;;;;;;
"Virtual Villagers 2: The Lost Children";;2;"Virtual Villagers: The Lost Children";"Virtual Villagers - The Secret City";;;;;;;;
"Victoria: Complete";;1;"Victoria I Complete";;;;;;;;;
"Victor Vran";;1;"Victor Vran ARPG";;;;;;;;;
"Vermillion Watch: Moorgate Accord";;1;"Vermillion Watch: Moorgate Accord Collector's Edition";;;;;;;;;
"Verdict Guilty";;1;"Verdict Guilty - 유죄 평결";;;;;;;;;
"Uriel's Chasm 2: et";;1;"Uriel's Chasm 2: את";;;;;;;;;
"Universal Combat";;1;"Universal Combat CE";;;;;;;;;
"Unearthed: Trail of Ibn Battuta - Episode 1";;1;"Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition";;;;;;;;;
"UFO: Extraterrestrials";;1;"UFO: Extraterrestrials Gold";;;;;;;;;
"Tunnel Rats: 1968";;1;"Tunnel Rats";;;;;;;;;
"TrumPinata";;1;"TrumPiñata";;;;;;;;;
"True Love: Confide to the Maple";;1;"True Love ～Confide to the Maple～";;;;;;;;;
"TRON: Evolution";;1;"Disney TRON: Evolution";;;;;;;;;
